title,company,requirement,salary,technical_skill,location,working_time,image_url,job_url
DevOps Engineer (Eng Giao Tiếp Tốt),VMO Holdings,,Negotiable,"['strategy', 'aws', 'mode', 'azure', 'linux', 'kubernetes']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/9280.png,https://nodeflair.com/jobs/vmo-holdings-devops-engineer-eng-giao-ti-p-t-t-192315?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Cyber Security Engineer,VietUnion,,Negotiable,"['security', 'blockchain', 'cloud', 'operating system', 'network']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/9882.png,https://nodeflair.com/jobs/vietunion-cyber-security-engineer-192316?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Full Stack Engineer,Zalo,,Negotiable,"['rest api', 'api', 'java', 'nosql', 'mysql', 'react', 'css']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/9246.png,https://nodeflair.com/jobs/zalo-full-stack-engineer-192184?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Frontend Developer,HYBRBASE,,Negotiable,"['nextjs', 'rest api', 'api', 'figma', 'sprint', 'git', 'webgl', 'html', 'typescript', 'es6', 'javascript', 'nodejs', 'graphql', 'react', 'css']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/21369.png,https://nodeflair.com/jobs/hybrbase-frontend-developer-192183?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Data Engineer,Movi,,Negotiable,"['etl', 'analytics', 'r', 'sql', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/14823.png,https://nodeflair.com/jobs/movi-data-engineer-192182?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Senior Fullstack Engineer,GitRoll,,Negotiable,"['rds', 'amazon s3', 'aws', 'go', 'elastic', 'sqs', 'ec2', 'javascript', 'laravel', 'php', 'mysql', 'vuejs']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/22377.png,https://nodeflair.com/jobs/gitroll-senior-fullstack-engineer-192181?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Full Stack Developer (Junior-Mid),Nami Foundation,,Negotiable,"['tdd', 'rest api', 'angularjs', 'api', 'loopback', 'react native', 'redux', 'javascript', 'nodejs', 'postgresql', 'mysql', 'react']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/20577.png,https://nodeflair.com/jobs/nami-foundation-full-stack-developer-junior-mid-192179?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Data Engineer,Home Credit,,Negotiable,"['etl', 'aws', 'azure', 'sql', 'hadoop', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/12555.png,https://nodeflair.com/jobs/home-credit-data-engineer-192178?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Senior Frontend (ReactJS) Engineer,C2C Tech Hub,,Negotiable,"['rest api', 'selenium', 'angularjs', 'api', 'centos', 'ubuntu', 'git', 'html', 'linux', 'angular', 'typescript', 'es6', 'javascript', 'json', 'react', 'css', 'vuejs']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/8703.png,https://nodeflair.com/jobs/c2c-tech-hub-senior-frontend-reactjs-engineer-192177?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
AI engineer,FPT,,Negotiable,"['cnn', 'aws', 'c++', 'analytics', 'google cloud', 'microsoft', 'azure', 'c', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/723.png,https://nodeflair.com/jobs/fpt-ai-engineer-192176?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
"Software Engineer, Backend",Grab,,Negotiable,"['api gateway', 'go', 'api', 'git', 'java']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/168.png,https://nodeflair.com/jobs/grab-software-engineer-backend-192175?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Senior Angular Developer,Silicon Stack,,Negotiable,"['combine', 'less', 'git', 'sass', 'angular', 'ajax', 'css']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/7783.png,https://nodeflair.com/jobs/silicon-stack-senior-angular-developer-192174?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Developer Blockchain - Intern,FTech,,Negotiable,"['go', 'rust', 'nodejs', 'react']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/8449.png,https://nodeflair.com/jobs/ftech-developer-blockchain-intern-192311?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
"Middle Fullstack Developer (Java, Reactjs)",MEDRiNG,,Negotiable,"['rest api', 'api', 'spring', 'java', 'redux', 'typescript', 'javascript', 'react']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/7717.png,https://nodeflair.com/jobs/medring-middle-fullstack-developer-java-reactjs-192324?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Chuyên Viên Backend -Portal- Hỗ Trợ Vận Hành Tại Hà Nội,Aladdin,,Negotiable,"['mvc', 'rest api', 'api', 'mvp', 'soap', 'mvvm', 'git', 'ajax', 'graphql', 'php']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/8401.png,https://nodeflair.com/jobs/aladdin-chuyen-vien-backend-portal-h-tr-v-n-hanh-t-i-ha-n-i-192318?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Cyber Security Engineer (CISO),FPT,,Negotiable,"['strategy', 'api', 'cloudflare']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/723.png,https://nodeflair.com/jobs/fpt-cyber-security-engineer-ciso-192319?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Lập Trình Viên Backend ( NodeJs ),Tinhvan Group,,Negotiable,"['html', 'javascript', 'jquery', 'nodejs', 'react', 'mongodb', 'python', 'css']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/11818.png,https://nodeflair.com/jobs/tinhvan-group-l-p-trinh-vien-backend-nodejs-192305?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Intern Tester Tiếng Nhật,VNEXT,,Negotiable,"['qc', 'qa', 'testing']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/9757.png,https://nodeflair.com/jobs/vnext-intern-tester-ti-ng-nh-t-192313?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Embedded Software Tester,Selex,,Negotiable,"['c', 'qc', 'qa', 'testing']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/9104.png,https://nodeflair.com/jobs/selex-embedded-software-tester-192320?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Cộng Tác Viên Tester,GMO–Z.com RUNSYSTEM,,Negotiable,"['api', 'sql', 'qc', 'qa', 'testing']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/7620.png,https://nodeflair.com/jobs/gmo-z-com-runsystem-c-ng-tac-vien-tester-192322?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Kỹ Sư Dữ Liệu Lớn ( Data Engineer ),Viettel,,Negotiable,"['graph', 'elastic', 'spark', 'nosql', 'hadoop']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/7665.png,https://nodeflair.com/jobs/viettel-k-s-d-li-u-l-n-data-engineer-192323?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Nhân Viên Digital Marketing Game Mobile,BBOLD,,Negotiable,"['2d', 'photoshop']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/11901.png,https://nodeflair.com/jobs/bbold-nhan-vien-digital-marketing-game-mobile-192301?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Manual Tester,Mediastep,,Negotiable,"['api', 'qc', 'qa', 'testing']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/8971.png,https://nodeflair.com/jobs/mediastep-manual-tester-192321?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Fullstack Developer (Java/Angular),BIPLUS SOFTWARE,,Negotiable,"['struts', 'oracle', 'spring', 'java', 'springboot', 'angular', 'sql', 'mysql']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/10171.png,https://nodeflair.com/jobs/biplus-software-fullstack-developer-java-angular-192102?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Fresher Fullstack Developer(Fluent English),SmartOSC,,Negotiable,"['mvc', 'rest api', 'api', 'magento', 'oop', 'git', 'sql', 'graphql', 'php']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/8024.png,https://nodeflair.com/jobs/smartosc-fresher-fullstack-developer-fluent-english-192110?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Product Owner,Diem Nhan,,Negotiable,['flow'],Vietnam,Full-time,https://nodeflair.com/api/v2/companies/8451.png,https://nodeflair.com/jobs/diem-nhan-product-owner-192107?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Frontend Developer (Angular 12),DTS Vietnam,,Negotiable,"['html', 'angular', 'javascript', 'css']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/9528.png,https://nodeflair.com/jobs/dts-vietnam-frontend-developer-angular-12-192099?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Data Scientist,Renesas Electronics,,Negotiable,"['aws', 'analytics', 'ci', 'r', 'apache', 'databricks', 'azure', 'spark', 'sql', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/715.png,https://nodeflair.com/jobs/renesas-electronics-data-scientist-192071?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
ReactJS Developer (Junior/Mid),TECHVIFY Software,,Negotiable,"['rest api', 'visual studio', 'webpack', 'grunt', 'git', 'html', 'typescript', 'javascript', 'react', 'css']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/12510.png,https://nodeflair.com/jobs/techvify-software-reactjs-developer-junior-mid-192070?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Full Stack AI Engineer,Renesas Electronics,,Negotiable,"['tensorflow', 'aws', 'ci', 'pytorch', 'databricks', 'azure', 'html', 'bootstrap', 'angular', 'javascript', 'sql', 'nodejs', 'react', 'python', 'css']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/715.png,https://nodeflair.com/jobs/renesas-electronics-full-stack-ai-engineer-192069?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
"Middle/Senior Manual tester (QC Engineer, English)",Joblogic,,Negotiable,"['api', 'azure', 'sql']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/10110.png,https://nodeflair.com/jobs/joblogic-middle-senior-manual-tester-qc-engineer-english-192067?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Magento Developer (eCommerce),DFI Retail Group,,Negotiable,"['aws', 'play', 'magento', 'git', 'html', 'javascript', 'ajax', 'php', 'mysql', 'css']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/5988.png,https://nodeflair.com/jobs/dfi-retail-group-magento-developer-ecommerce-192066?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Back End Developer,LG CNS,,Negotiable,"['aws', 'rest api', 'oracle', 'api', 'spring', 'ci', 'git', 'spring mvc', 'java', 'kubernetes', 'springboot', 'sql', 'postgresql', 'mysql', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/14525.png,https://nodeflair.com/jobs/lg-cns-back-end-developer-192065?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Full Stack Developer,Stor.ai,,Negotiable,"['angularjs', 'oop', 'mssql', 'angular', 'sql', 'nodejs']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/22361.png,https://nodeflair.com/jobs/stor-ai-full-stack-developer-192064?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Mobile Application Developer (React Native),Stor.ai,,Negotiable,"['drupal', 'analytics', 'firebase', 'mssql', 'react native', 'angular', 'android', 'sql', 'nodejs', 'react']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/22361.png,https://nodeflair.com/jobs/stor-ai-mobile-application-developer-react-native-192063?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Fullstack Developer (NodeJS/ReactJS),Relia Software,,Negotiable,"['nextjs', 'typescript', 'javascript', 'nodejs', 'react', 'css']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/9682.png,https://nodeflair.com/jobs/relia-software-fullstack-developer-nodejs-reactjs-192062?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Frontend Developer,LG CNS,,Negotiable,"['oauth', 'spa', 'ci', 'mui', 'git', 'd3', 'html', 'typescript', 'javascript', 'jquery', 'nodejs', 'css', 'vuejs']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/14525.png,https://nodeflair.com/jobs/lg-cns-frontend-developer-192061?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
"Engineer, Backend",Hex Trust,,Negotiable,"['docker', 'go', 'shell script', 'openapi', 'message queue', 'essage queue', 'ci', 'less', 'shell', 'rust', 'typescript', 'sql', 'nodejs', 'mongodb']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/5511.png,https://nodeflair.com/jobs/hex-trust-engineer-backend-192060?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Dotnet Developer,Terralogic,,Negotiable,"['api', 'microsoft sql server', 't sql', 'microsoft', 'net core', 'mssql', 'html', 'javascript', 'sql', 'net', 'mongodb', 'css']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/4374.png,https://nodeflair.com/jobs/terralogic-dotnet-developer-192059?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
DevOps Engineer,VinFast,,Negotiable,"['aws', 'terraform', 'docker', 'ci', 'microsoft', 'git', 'azure', 'grafana', 'prometheus', 'linux', 'kubernetes', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/12936.png,https://nodeflair.com/jobs/vinfast-devops-engineer-192057?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Fullstack React Native/.NET Engineer,Orient Software,,Negotiable,"['rest api', 'api', 'git', 'azure', 'react native', 'ios', 'android', 'typescript', 'es6', 'javascript', 'c#', 'net', 'react']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/2011.png,https://nodeflair.com/jobs/orient-software-fullstack-react-native-net-engineer-192056?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Java Software Engineer,Rakuten,,Negotiable,"['oracle', 'web api', 'api', 'jsf', 'java', 'junit', 'sql']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/22201.png,https://nodeflair.com/jobs/rakuten-java-software-engineer-192055?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
.Net Developer,Adamo,,Negotiable,"['mvc', 'rest api', 'api', 'entity', 'net core', 'oop', 'java', 'html', 'aspnet', 'bootstrap', 'sql', 'jquery', 'net', 'css']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/12448.png,https://nodeflair.com/jobs/adamo-net-developer-192054?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Odoo Developer,AHT Tech,,Negotiable,"['odoo', 'html', 'javascript', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/15457.png,https://nodeflair.com/jobs/aht-tech-odoo-developer-192053?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Android Developer,LG CNS,,Negotiable,"['ci', 'git', 'java', 'html', 'gradle', 'ios', 'android', 'kotlin', 'css']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/14525.png,https://nodeflair.com/jobs/lg-cns-android-developer-192052?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Data Scientist,FPT,,Negotiable,"['tensorflow', 'aws', 'api', 'analytics', 'r', 'sas', 'azure', 'spark', 'scala', 'hadoop', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/723.png,https://nodeflair.com/jobs/fpt-data-scientist-192051?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
[Remote] Mobile Game Developer,Ateam Vietnam,,Negotiable,"['ios', 'android']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/14791.png,https://nodeflair.com/jobs/ateam-vietnam-remote-mobile-game-developer-192097?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
System Engineer (Trực Vận Hành),CMC Global,,Negotiable,"['aws', 'windows server', 'google cloud', 'centos', 'ubuntu', 'microsoft', 'zabbix', 'kvm', 'vmware', 'azure', 'grafana', 'linux']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/8126.png,https://nodeflair.com/jobs/cmc-global-system-engineer-tr-c-v-n-hanh-191941?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Security Engineer,FTech,,Negotiable,"['gitlab', 'tcp', 'ci', 'java', 'mssql', 'swift', 'net', 'postgresql', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/8449.png,https://nodeflair.com/jobs/ftech-security-engineer-191911?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Manual Tester,MOR,,Negotiable,"['api', 'sql']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/11693.png,https://nodeflair.com/jobs/mor-manual-tester-191914?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Hn_Automotive Android App Developer,Bosch,,Negotiable,"['svn', 'jenkins', 'hal', 'ci', 'git', 'java', 'linux', 'android']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/141.png,https://nodeflair.com/jobs/bosch-hn_automotive-android-app-developer-191906?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Senior Frontend Developer,VMO Holdings,,Negotiable,"['nextjs', 'web token', 'mode', 'dom', 'webpack', 'es6', 'javascript', 'json', 'graphql', 'react']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/9280.png,https://nodeflair.com/jobs/vmo-holdings-senior-frontend-developer-191925?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Lập Trình Viên Front-End,NexData,,Negotiable,"['rest api', 'angularjs', 'api', 'less', 'webpack', 'grunt', 'git', 'sass', 'html', 'bootstrap', 'typescript', 'javascript', 'react', 'css']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/11695.png,https://nodeflair.com/jobs/nexdata-l-p-trinh-vien-front-end-191938?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
DevOps Engineer,Axon Active,,Negotiable,"['flux', 'terraform', 'docker', 'argocd', 'linux', 'kubernetes', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/12548.png,https://nodeflair.com/jobs/axon-active-devops-engineer-191882?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Senior Backend Developer,VGGATE,,Negotiable,"['cloud foundry', 'svn', 'aws', 'docker', 'jenkins', 'teamcity', 'ci', 'nexus', 'git', 'postgresql', 'mysql', 'mongodb']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/22009.png,https://nodeflair.com/jobs/vggate-senior-backend-developer-191871?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Frontend Engineer (ReactJS),TymeX,,Negotiable,"['hooks', 'rest api', 'ci', 'git', 'html', 'redux', 'bootstrap', 'angular', 'javascript', 'react', 'css']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/22433.png,https://nodeflair.com/jobs/tymex-frontend-engineer-reactjs-191870?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Junior Flutter Developer (English),Relia Software,,Negotiable,"['rest api', 'ci', 'oop', 'git', 'flutter']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/9682.png,https://nodeflair.com/jobs/relia-software-junior-flutter-developer-english-191868?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Java Software Engineer,ITNavi,,Negotiable,"['rest api', 'ci', 'java', 'nosql', 'kafka', 'sql', 'redis']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/22117.png,https://nodeflair.com/jobs/itnavi-java-software-engineer-191867?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Java Software Engineer,Intrepid Asia,,Negotiable,"['strategy', 'aws', 'rest api', 'api', 'message queue', 'essage queue', 'rabbitmq', 'java', 'nosql', 'kafka', 'sql', 'mysql', 'mongodb']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/9291.png,https://nodeflair.com/jobs/intrepid-asia-java-software-engineer-191866?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Senior Software Engineer,FORTNA,,Negotiable,"['rest api', 'docker', 'oracle', 'api', 'java', 'linux', 'postgresql', 'maven']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/9298.png,https://nodeflair.com/jobs/fortna-senior-software-engineer-191865?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Remote Manual QA Engineer,Scopic,,Negotiable,"['api', 'flow', 'qc', 'qa', 'testing']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/3395.png,https://nodeflair.com/jobs/scopic-remote-manual-qa-engineer-191864?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
"Senior Software Engineer, ReactJS, Zalo PC",Zalo,,Negotiable,"['es5', 'scss', 'sass', 'html', 'redux', 'javascript', 'nodejs', 'react', 'css']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/9246.png,https://nodeflair.com/jobs/zalo-senior-software-engineer-reactjs-zalo-pc-191863?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Fresher Data Engineer,Dagoras,,Negotiable,"['etl', 'oracle', 'data mart', 'apache', 'airflow', 'spark', 'sql', 'postgresql', 'hadoop', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/11694.png,https://nodeflair.com/jobs/dagoras-fresher-data-engineer-191931?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Fullstack JavaScript Developer,Pentalog,,Negotiable,"['nodejs', 'react']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/12931.png,https://nodeflair.com/jobs/pentalog-fullstack-javascript-developer-191922?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Junior Front-End ( ReactJS ) Developer,Pentalog,,Negotiable,"['apache', 'linux', 'javascript', 'postgresql', 'react']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/12931.png,https://nodeflair.com/jobs/pentalog-junior-front-end-reactjs-developer-191918?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Frontend Developer,Pentalog,,Negotiable,['react'],Vietnam,Full-time,https://nodeflair.com/api/v2/companies/12931.png,https://nodeflair.com/jobs/pentalog-frontend-developer-191916?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
IT System Engineer,Rabiloo,,Negotiable,"['aws', 'docker', 'oauth2']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/11904.png,https://nodeflair.com/jobs/rabiloo-it-system-engineer-191908?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Data Scientist,FPT,,Negotiable,"['cnn', 'mariadb', 'tensorflow', 'rnn', 'r', 'matplotlib', 'matlab', 'pytorch', 'keras', 'powerbi', 'spark', 'postgresql', 'hadoop', 'mysql', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/723.png,https://nodeflair.com/jobs/fpt-data-scientist-191928?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Nhân Viên Kiểm Thử Phần Mềm _ Manual Tester,HENO,,Negotiable,"['api', 'qc', 'qa', 'testing']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/12489.png,https://nodeflair.com/jobs/heno-nhan-vien-ki-m-th-ph-n-m-m-_-manual-tester-191761?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
ANDROID DEVELOPER (Fresher),FPT,,Negotiable,"['retrofit', 'koin', 'coroutines', 'android jetpack', 'play', 'mvp', 'mvvm', 'rxjava', 'oop', 'git', 'java', 'android', 'kotlin']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/723.png,https://nodeflair.com/jobs/fpt-android-developer-fresher-191767?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Automation Test,FPT,,Negotiable,"['selenium', 'ranorex', 'appium']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/723.png,https://nodeflair.com/jobs/fpt-automation-test-191774?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Middle Flutter Developer,Blameo Technology,,Negotiable,"['rest api', 'api', 'oop', 'git']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/9896.png,https://nodeflair.com/jobs/blameo-technology-middle-flutter-developer-191765?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Fullstack Developer,Mirabo,,Negotiable,"['java', 'javascript', 'nodejs', 'react']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/9648.png,https://nodeflair.com/jobs/mirabo-fullstack-developer-191777?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Senior Android Developer (Kotlin),Dikshatek,,Negotiable,"['strategy', 'kotlin flow', 'ruby on rails', 'coroutines', 'analytics', 'ci', 'mvvm', 'ios', 'android', 'kotlin']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/22026.png,https://nodeflair.com/jobs/dikshatek-senior-android-developer-kotlin-191695?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Python Developer (Django),Politetech,,Negotiable,"['aws', 'git', 'html', 'nosql', 'javascript', 'flask', 'sql', 'jquery', 'django', 'python', 'css']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/13434.png,https://nodeflair.com/jobs/politetech-python-developer-django-191694?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Senior QA Engineer,Sellerwix,,Negotiable,"['tdd', 'rest api', 'selenium', 'web api', 'api', 'test studio', 'microsoft', 'cypress', 'less', 'jest', 'sql', 'graphql', 'react']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/9447.png,https://nodeflair.com/jobs/sellerwix-senior-qa-engineer-191693?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Data Engineer,Movi,,Negotiable,"['etl', 'analytics', 'r', 'sql', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/14823.png,https://nodeflair.com/jobs/movi-data-engineer-191692?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Mobile Engineer,Pionero,,Negotiable,"['objective c', 'firebase', 'oop', 'git', 'flutter', 'java', 'react native', 'kotlin', 'swift', 'react']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/12483.png,https://nodeflair.com/jobs/pionero-mobile-engineer-191690?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
DevOps Engineer,PTF,,Negotiable,"['container', 'circleci', 'aws', 'docker', 'jenkins', 'ci', 'nexus', 'azure', 'java', 'openshift', 'kubernetes', 'ansible', 'nodejs']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/11824.png,https://nodeflair.com/jobs/ptf-devops-engineer-191689?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Full Stack Engineer,Pro5.ai,,Negotiable,"['aws', 'docker', 'linux', 'bitbucket', 'angular', 'laravel', 'sql', 'postgresql', 'php', 'mongodb', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/22427.png,https://nodeflair.com/jobs/pro5-ai-full-stack-engineer-191688?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
