title,company,requirement,salary,technical_skill,location,working_time,image_url,job_url
C#/.NET Developer - Global Market,Rikkeisoft,,Negotiable,"['rest api', 'api', 'winform', 'c#']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/11213.png,https://nodeflair.com/jobs/rikkeisoft-c-net-developer-global-market-193624?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Full Stack Engineer,Favie tech,,Negotiable,"['tdd', 'rest api', 'api', 'firebase', 'angular', 'javascript', 'nodejs', 'postgresql', 'react', 'mongodb']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/8675.png,https://nodeflair.com/jobs/favie-tech-full-stack-engineer-193623?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
React Native Developer,Synodus,,Negotiable,"['mapbox', 'analytics', 'firebase', 'uml', 'git', 'react native', 'ios', 'android', 'react']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/7993.png,https://nodeflair.com/jobs/synodus-react-native-developer-193622?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Developer (Backend),Mirai Labs,,Negotiable,"['container', 'rest api', 'docker', 'api', 'ethereum', 'oop', 'typescript', 'nodejs']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/13035.png,https://nodeflair.com/jobs/mirai-labs-developer-backend-193621?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Senior FullStack Engineer,Diksha Teknologies,,Negotiable,"['aws', 'rest api', 'docker', 'go', 'google cloud', 'svelte', 'ci', 'nats', 'rust', 'mocha', 'git', 'jest', 'azure', 'java', 'junit', 'nosql', 'kubernetes', 'kafka', 'typescript', 'javascript', 'postgresql', 'graphql', 'mongodb']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/17484.png,https://nodeflair.com/jobs/diksha-teknologies-senior-fullstack-engineer-193620?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Mobile Developer,Mamabox,,Negotiable,"['android sdk', 'tdd', 'hooks', 'rest api', 'react hooks', 'sockets', 'sprint', 'git', 'flutter', 'react native', 'ios', 'android', 'kotlin', 'graphql', 'react']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/20142.png,https://nodeflair.com/jobs/mamabox-mobile-developer-193619?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Data Engineer,METUB,,Negotiable,"['etl', 'aws', 'analytics', 'google cloud', 'azure', 'spark', 'kafka', 'hadoop']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/9794.png,https://nodeflair.com/jobs/metub-data-engineer-193618?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Senior Software Engineer,Zalo,,Negotiable,"['gitlab', 'c++', 'jenkins', 'go', 'rpc', 'message queue', 'essage queue', 'salt', 'ci', 'grpc', 'oop', 'puppet', 'git', 'java', 'linux', 'nosql', 'ansible']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/9246.png,https://nodeflair.com/jobs/zalo-senior-software-engineer-193617?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Back End Developer ( NodeJS),METUB,,Negotiable,"['git', 'javascript', 'nodejs', 'mysql', 'react', 'mongodb']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/9794.png,https://nodeflair.com/jobs/metub-back-end-developer-nodejs-193616?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Data Engineer,Snaptec,,Negotiable,"['dynamodb', 'aws', 'rest api', 'elk', 'logstash', 'kibana', 'nosql', 'sql', 'json', 'elasticsearch', 'python']",Vietnam,Full-time,https://nodeflair.com/api/v2/companies/11915.png,https://nodeflair.com/jobs/snaptec-data-engineer-193615?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
