job_title, company_name, requirement, salary, location, image_link, job_url
Lập Trình Viên Unity,CÔNG TY TNHH CÔNG NGHỆ NHẬN THỨC MÁY HORUS AI,"['- Nắm vững các kiến thức về ngôn ngữ lập trình C# , tư duy logic , tư duy hệ thống tốt , hiểu và áp dụng được nguyên tắc SOLID trong lập trình\n- Có nắm rõ và có thể triển khai tốt các Design Pattern : Singleton, Object pool, Observer, Dependency Injection\n- Có kinh nghiệm là việc với Git, Có khả năng xử lý các vấn đề phát sinh khi làm việc trong Project đông người.\n- Sử dụng tốt Unity Engine nắm vững các component liên quan đến Transform, Animation, UI, Sound, Navigation\n- Có kinh nghiệm làm game 3D với Unity có khả năng triển khai các hệ thống khác nhau trong game : Shop, Inventory, Leaderboard, Chat, Game Play vvv.\n- Có kiến thức về tối ưu hệ thống UI, GamePlay\n- Có kiến thức về Unity Custom Editor là một lợi thế.\n- Làm việc tốt với Json\n- Có hiểu biết về MongoDB, Protobuf-net\n- Có khả năng viết và triển khai ASP.NET Core Web API Server\n- Sử dụng tốt các công cụ hỗ trợ cho công việc.\n- Đam mê lập trình tạo ra những sản phẩm Game phục vụ nhiều triệu người chơi.']","1,000 - 3,000 USD","- Hà Nội: CT2D- VOV Mễ Trì- Nam Từ Liêm- Hà Nội, Từ Liêm",https://www.topcv.vn/v4/image/normal-company/logo_default.png,https://www.topcv.vn/viec-lam/lap-trinh-vien-unity/1284159.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PjOqVJRzUVB8cc9pzetvDxXJSG2DO6EumEWVV9wy_1713598748
Java Developer - Yêu Cầu 2 Năm Kinh Nghiệm,TASTECH PTE.LTD,"['Có ít nhất 2 năm kinh nghiệm lập trình Java, Java spring boot.\nCó kinh nghiệm lập trình với Angular / React\nHiểu rõ nguyên tắc SOLID và các design pattern phổ biến (Singleton, Factory Method, Abstract Factory, Builder)\nCó kinh nghiệm làm việc với CSDL như Postgres, MongoDB hoặc MySQL\nCó kinh nghiệm với các giải pháp cache: Redis, Apache ignite, aerospike ...\nCó kinh nghiệm làm việc với các message queue phổ biến: RabbitMQ, ActiveMQ, Amazon SQS ...\nCó kiến thức về RESTful API, GraphQL, Websocket\nCó kinh nghiệm làm việc với Google cloud, Amazon web service, Azure ...\nCó kinh nghiệm làm ứng dụng di động, web application là một lợi thế']","Tới 1,600 USD","- Hà Nội: Trung Kính, Cầu Giấy",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/eb9numMTAOmjp3UqCgdVYh11wpyXZmbA_1657878677____bc0b9f1171c3a889dadc4d227e9f12fd.jpg,https://www.topcv.vn/viec-lam/java-developer-yeu-cau-2-nam-kinh-nghiem/1243660.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PjOqVJRzUVB8cc9pzetvDxXJSG2DO6EumEWVV9wy_1713598748
Senior Python Developer,Công ty Cổ phần Công nghệ HiveTech,"['Have 6+ year of experience in using Python for web development and hands-on experience with Django or similar frameworks is a plus.\nIn-depth understanding of software development principles, Object-Oriented programming and commonly used design patterns and algorithms.\nHave a solid understanding of the entire software development life cycle.\nExperience in SQL (PostgreSQL, MySQL, Redis...).\nAdvanced knowledge of software development methods and best practices\nExperience using Git in a professional environment.\nFamiliarity with front-end technologies like HTML, CSS, and JavaScript is a plus.\nExperience in working with foreign partners.\nStrong problem-solving skills and attention to detail.\nExcellent communication and teamwork skills.\nExcellent at English in communication skills including oral and written.']",Thoả thuận,- Toàn Quốc,https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-co-phan-cong-nghe-hivetech-5d01b43ad68b2.jpg,https://www.topcv.vn/viec-lam/senior-python-developer/1283685.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PjOqVJRzUVB8cc9pzetvDxXJSG2DO6EumEWVV9wy_1713598748
Senior Java Developer,Công ty cổ phần TechLead,"['• Có từ 4 năm kinh nghiệm với Java , có hiểu biết về Scala\n• Có kiến thức về OOP, UML, Design pattern.\n• Có kiến thức về CSDL SQL và NoSQL.\n• Có khả năng sử dụng Anh trong công việc. Có thể giao tiếp tốt là lợi thế rất lớn.\n• Biết sử dụng thêm các ngôn ngữ khác: PHP, JS, iOS, Android... là một lợi thế.\n• Ưu tiên từng tham gia các nghiên cứu về công nghệ thông tin\n- Có kinh nghiệm quản lý team ;\n- Có khả năng đọc hiểu tiếng Anh chuyên ngành;\n- Tư duy logic tốt, học hỏi nhanh;\n- Có khả năng tự nghiên cứu, phân tích và giải quyết vấn đề.']",Thoả thuận,"- Hà Nội: Tầng 4- Số 11 Nguyễn Xiển - Thanh Xuân - Hà Nội, Thanh Xuân",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/SogckOI7cgkOLKWozp6qxI550MdaShmY_1658888401____bebc6c34b148ccc603316bf5aa9da566.png,https://www.topcv.vn/viec-lam/senior-java-developer/1166947.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PjOqVJRzUVB8cc9pzetvDxXJSG2DO6EumEWVV9wy_1713598748
Lập Trình Viên C/C++ Tại Hà Nội - Lương Từ 20 - 35 Triệu,CÔNG TY TNHH CMC CYBER SECURITY,"['- Tốt nghiệp chuyên ngành CNTT, điện - điển tử viên thông...\n- Từ 1 đến 3 năm kinh nghiệm phát triển phầm mềm. Có khả năng triển khai và viết design documents cho nhiều loại modules của sản phẩm\n- Có kinh nghiệm với ngôn ngữ lập trình C/C++\n- Có khả năng lập trình với Rust là lợi thế\n- Khả năng làm việc độc lập và làm việc nhóm tốt']",20 - 35 triệu,"- Hà Nội: 11 Duy Tân, Cầu Giấy",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/wADV14D3mxDdN3Si5iNC32PvihdWExHV_1637206489____52b9e56079c77355b6dfbfe73f311843.png,https://www.topcv.vn/viec-lam/lap-trinh-vien-c-c-tai-ha-noi-luong-tu-20-35-trieu/1273032.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PjOqVJRzUVB8cc9pzetvDxXJSG2DO6EumEWVV9wy_1713598748
System Developer C++,CÔNG TY CỔ PHẦN CHỨNG KHOÁN MIRAE ASSET (VIỆT NAM),"['• Có ít nhất 1 năm kinh nghiệm làm việc với C++, Visual Basic\n• Có kinh nghiệm làm việc với các loại cơ sỡ dữ liệu như MySQL, oracle ..\n• Có hiểu biết về các giao thức kết nối API như RESTFUL, TCP\n• Có kinh nghiệm làm việc trên môi trường Linux và sử dụng Docker.\n• Đã từng làm việc tại vị trí phát triển core của các ngành tài chính là lợi thế.\n• Tốt nghiệp Trung cấp trở lên\n• Ưu tiên ứng viên có kiến thức về chứng khoán hay tài chính, ngân hàng,...']",Thoả thuận,"- Hồ Chí Minh: 3C Tôn Đức Thắng, Bến Nghé, Quận 1",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/boGi4OCYwxVzZ2LHwgBePiNkQe9KW7lt_1699607293____dfb77f56015130c2b91bb17c6434d84f.jpg,https://www.topcv.vn/viec-lam/system-developer-c/1165641.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PjOqVJRzUVB8cc9pzetvDxXJSG2DO6EumEWVV9wy_1713598748
Nhân Viên Tư Vấn Khóa Học Lập Trình,Clevergroup,"['Ứng viên có kinh nghiệm 1 năm từng làm vị trí tương tự ở các trung tâm đào tạo Tiếng Anh, Toán, kỹ năng mềm cho trẻ em sẽ là một lợi thế lớn\nTốt nghiệp đại học chuyên ngành Sales, Báo chí, Marketing, PR hoặc các chuyên ngành liên quan.\nYêu thích kinh doanh và công việc chăm sóc khách hàng\nCó kinh nghiệm và kiến thức trong việc quản lý các kênh Social Media.\nCó khả năng tiếng anh là một lợi thế.\nỨng viên có các kỹ năng tư duy phân tích và logic, tổng hợp thông tin; lập kế hoạch; giải quyết vấn đề và ra quyết định; có khả năng làm việc độc lập và làm việc nhóm.\nƯu tiên ứng viên có kinh nghiệm trong lĩnh vực Giáo dục, đào tạo, tuyển sinh']",7 - 10 triệu,"- Hà Nội: Số 116 Vũ Trọng Phụng, Thanh Xuân, Hà Nội, Thanh Xuân",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/clevergroup-6049bb765cd78.jpg,https://www.topcv.vn/viec-lam/nhan-vien-tu-van-khoa-hoc-lap-trinh/1279622.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PjOqVJRzUVB8cc9pzetvDxXJSG2DO6EumEWVV9wy_1713598748
Senior Developer,Công TY TNHH FLINTERS Việt Nam,"['[Bắt buộc]\n• Số năm kinh nghiệm: Có ít nhất 2 năm kinh nghiệm thiết kế và điều chỉnh các hệ thống có hiệu suất cao;\n• Quen thuộc với các mô hình lập trình hướng đối tượng và lập trình hàm;\n• Sẵn sàng thay đổi ngôn ngữ lập trình sang Scala;\n• Có sự hiểu biết về đặc trưng của một hoặc nhiều ngôn ngữ lập trình như Java, PHP, C#, Ruby;\n• Có kinh nghiệm phát triển Fontend: HTML, CSS, Javascript và ít nhất một frontend framework mới (vue.js, reactjs, angularjs, v.v.);\n• Quen thuộc với tuyên ngôn Agile và phương pháp Scrum.\n[Không bắt buộc]\n• Có kinh nghiệm với ngôn ngữ lập trình Scala là một điểm cộng lớn;\n• Có kinh nghiệm thiết kế và tối ưu hóa quyền truy cập cơ sở dữ liệu;\n• Quen thuộc với các nguyên tắc TDD và thiết kế các trường hợp kiểm thử;\n• Trình độ tiếng Nhật được hoan nghênh.']","500 - 1,700 USD","- Hà Nội: Discovery Complex, 302 Cầu Giấy, Dịch Vọng, Cầu Giấy, Hà Nội, Cầu Giấy",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/3GVkmKOLpj93qplAmbdtxc5P36HFRjwk_1671507807____7dcbb600b4dddd65f0889afe9930e694.png,https://www.topcv.vn/viec-lam/senior-developer/1197880.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PjOqVJRzUVB8cc9pzetvDxXJSG2DO6EumEWVV9wy_1713598748
Junior Developer,Công TY TNHH FLINTERS Việt Nam,"['[Kiến thức và kỹ năng]\n[Bắt buộc]\n• Có kiến thức về website và quản trị website;\n• Có sự hiểu biết về đặc trưng của một hoặc nhiều ngôn ngữ lập trình như Java, PHP, C#, Ruby;\n• Biết sử dụng IDE, công cụ quản lý cấu hình phổ biến\n• Hiểu và sử dụng cấu trúc dữ liệu & thuật toán\n• Có thể áp dụng các chiến lược fix bug, và các công cụ để fix bug\n• Sẵn sàng thay đổi ngôn ngữ lập trình sang Scala.\n[Không bắt buộc]\n• Có kinh nghiệm với ngôn ngữ lập trình Scala là một điểm cộng lớn;\n• Có kinh nghiệm thiết kế và tối ưu hóa quyền truy cập cơ sở dữ liệu;\n• Quen thuộc với các nguyên tắc TDD và thiết kế các trường hợp kiểm thử;\n• Trình độ tiếng Nhật được hoan nghênh']","500 - 1,000 USD","- Hà Nội: Discovery Complex, 302 Cầu Giấy, Dịch Vọng, Cầu Giấy, Hà Nội, Cầu Giấy",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/3GVkmKOLpj93qplAmbdtxc5P36HFRjwk_1671507807____7dcbb600b4dddd65f0889afe9930e694.png,https://www.topcv.vn/viec-lam/junior-developer/1197892.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PjOqVJRzUVB8cc9pzetvDxXJSG2DO6EumEWVV9wy_1713598748
Senior .NET Developer (English),CÔNG TY CỔ PHẦN LOTUS TECHNOLOGY SERVICES,"['At least 3+ years of working as developers\nExperience developing MVC and Web API applications\nNET frameworks, C#, and associate technologies.\nExperience with front end technologies: VueJS\nExperience using Source Control Systems (Git preferred) or similar\nProficiency in English is an advantage']","Tới 2,000 USD","- Hà Nội: Tòa MHDI Complex, 68 Nguyễn Cơ Thạch, Mỹ Đình 2, Nam Từ Liêm",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/ea3d0d94a7848dde25af19f97774d42b-63f6d46eb26f1.jpg,https://www.topcv.vn/viec-lam/senior-net-developer-english/1283598.html?ta_source=JobSearchList_LinkDetail&u_sr_id=PjOqVJRzUVB8cc9pzetvDxXJSG2DO6EumEWVV9wy_1713598748
